ABB: ROE anomaly | computed=22.41, source=34.9
ABB: ROE anomaly | computed=25.13, source=34.9
ABB: ROCE anomaly | computed=51.69, source=46.0
ABB: ROE anomaly | computed=25.13, source=34.9
ABB: ROCE anomaly | computed=51.69, source=46.0
ABB: ROE anomaly | computed=24.44, source=34.9
ABB: ROE anomaly | computed=24.44, source=34.9
ABB: ROE anomaly | computed=21.34, source=34.9
ABB: ROE anomaly | computed=21.34, source=34.9
ABB: ROE anomaly | computed=19.97, source=34.9
ABB: ROCE anomaly | computed=38.52, source=46.0
ABB: ROE anomaly | computed=19.97, source=34.9
ABB: ROCE anomaly | computed=38.52, source=46.0
ABB: ROE anomaly | computed=23.69, source=34.9
ABB: ROCE anomaly | computed=39.57, source=46.0
ABB: ROE anomaly | computed=23.69, source=34.9
ABB: ROCE anomaly | computed=39.57, source=46.0
ABB: ROE anomaly | computed=22.41, source=34.9
ABB: ROCE anomaly | computed=36.97, source=46.0
ABB: ROE anomaly | computed=22.41, source=34.9
ABB: ROCE anomaly | computed=36.97, source=46.0
ABB: ROE anomaly | computed=24.39, source=34.9
ABB: ROCE anomaly | computed=36.24, source=46.0
ABB: ROE anomaly | computed=24.39, source=34.9
ABB: ROCE anomaly | computed=36.24, source=46.0
ABB: ROE anomaly | computed=26.56, source=34.9
ABB: ROCE anomaly | computed=37.09, source=46.0
ABB: ROE anomaly | computed=26.56, source=34.9
ABB: ROCE anomaly | computed=37.09, source=46.0
ABB: ROE anomaly | computed=28.33, source=34.9
ABB: ROCE anomaly | computed=38.68, source=46.0
ABB: ROE anomaly | computed=28.33, source=34.9
ABB: ROCE anomaly | computed=38.68, source=46.0
ABB: ROE anomaly | computed=29.77, source=34.9
ABB: ROCE anomaly | computed=39.54, source=46.0
ABB: ROE anomaly | computed=29.77, source=34.9
ABB: ROCE anomaly | computed=39.54, source=46.0
ABB: ROCE anomaly | computed=40.10, source=46.0
ABB: ROCE anomaly | computed=40.10, source=46.0
ADANIENSOL: ROE anomaly | computed=0.00, source=8.59
ADANIENSOL: ROCE anomaly | computed=0.00, source=9.0
ADANIENSOL: ROE anomaly | computed=-0.65, source=8.59
ADANIENSOL: ROCE anomaly | computed=19.28, source=9.0
ADANIENSOL: ROE anomaly | computed=13.77, source=8.59
ADANIENSOL: ROCE anomaly | computed=30.51, source=9.0
ADANIENSOL: ROE anomaly | computed=14.12, source=8.59
ADANIENSOL: ROCE anomaly | computed=26.67, source=9.0
ADANIENSOL: ROE anomaly | computed=18.87, source=8.59
ADANIENSOL: ROCE anomaly | computed=29.09, source=9.0
ADANIENSOL: ROCE anomaly | computed=16.43, source=9.0
ADANIENSOL: ROCE anomaly | computed=17.98, source=9.0
ADANIENSOL: ROE anomaly | computed=14.46, source=8.59
ADANIENSOL: ROCE anomaly | computed=19.60, source=9.0
ADANIENSOL: ROCE anomaly | computed=18.45, source=9.0
ADANIENSOL: ROCE anomaly | computed=17.24, source=9.0
ADANIENSOL: ROCE anomaly | computed=17.58, source=9.0
ADANIENT: ROE anomaly | computed=5.69, source=13.64
ADANIENT: ROCE anomaly | computed=17.47, source=11.6
ADANIENT: ROCE anomaly | computed=17.82, source=11.6
ADANIENT: ROE anomaly | computed=7.47, source=13.64
ADANIENT: ROCE anomaly | computed=20.17, source=11.6
ADANIENT: ROE anomaly | computed=6.54, source=13.64
ADANIENT: ROCE anomaly | computed=18.94, source=11.6
ADANIENT: ROE anomaly | computed=3.94, source=13.64
ADANIENT: ROE anomaly | computed=3.43, source=13.64
ADANIENT: ROCE anomaly | computed=21.41, source=11.6
ADANIENT: ROE anomaly | computed=6.14, source=13.64
ADANIENT: ROCE anomaly | computed=21.99, source=11.6
ADANIENT: ROE anomaly | computed=6.10, source=13.64
ADANIENT: ROCE anomaly | computed=19.04, source=11.6
ADANIENT: ROE anomaly | computed=3.54, source=13.64
ADANIENT: ROE anomaly | computed=7.33, source=13.64
ADANIENT: ROCE anomaly | computed=22.35, source=11.6
ADANIENT: ROE anomaly | computed=8.53, source=13.64
ADANIENT: ROCE anomaly | computed=17.95, source=11.6
ADANIGREEN: ROE anomaly | computed=-3.91, source=14.7
ADANIGREEN: ROCE anomaly | computed=20.33, source=96.5
ADANIGREEN: ROE anomaly | computed=-10.29, source=14.7
ADANIGREEN: ROCE anomaly | computed=12.52, source=96.5
ADANIGREEN: ROE anomaly | computed=-24.57, source=14.7
ADANIGREEN: ROCE anomaly | computed=12.74, source=96.5
ADANIGREEN: ROE anomaly | computed=-2.89, source=14.7
ADANIGREEN: ROCE anomaly | computed=15.98, source=96.5
ADANIGREEN: ROE anomaly | computed=8.27, source=14.7
ADANIGREEN: ROCE anomaly | computed=23.01, source=96.5
ADANIGREEN: ROCE anomaly | computed=25.39, source=96.5
ADANIGREEN: ROCE anomaly | computed=22.97, source=96.5
ADANIGREEN: ROCE anomaly | computed=26.42, source=96.5
ADANIPORTS: ROE anomaly | computed=25.63, source=18.1
ADANIPORTS: ROCE anomaly | computed=29.02, source=12.9
ADANIPORTS: ROCE anomaly | computed=25.98, source=12.9
ADANIPORTS: ROCE anomaly | computed=27.25, source=12.9
ADANIPORTS: ROCE anomaly | computed=27.20, source=12.9
ADANIPORTS: ROCE anomaly | computed=27.73, source=12.9
ADANIPORTS: ROCE anomaly | computed=26.77, source=12.9
ADANIPORTS: ROCE anomaly | computed=24.78, source=12.9
ADANIPORTS: ROCE anomaly | computed=21.56, source=12.9
ADANIPORTS: ROCE anomaly | computed=26.48, source=12.9
ADANIPORTS: ROE anomaly | computed=11.84, source=18.1
ADANIPORTS: ROCE anomaly | computed=21.54, source=12.9
ADANIPORTS: ROE anomaly | computed=11.88, source=18.1
ADANIPORTS: ROCE anomaly | computed=20.99, source=12.9
ADANIPORTS: ROCE anomaly | computed=24.53, source=12.9
ADANIPORTS: ROE anomaly | computed=25.63, source=18.1
ADANIPORTS: ROCE anomaly | computed=29.02, source=12.9
ADANIPORTS: ROCE anomaly | computed=25.98, source=12.9
ADANIPORTS: ROCE anomaly | computed=27.25, source=12.9
ADANIPORTS: ROCE anomaly | computed=27.20, source=12.9
ADANIPORTS: ROCE anomaly | computed=27.73, source=12.9
ADANIPORTS: ROCE anomaly | computed=26.77, source=12.9
